conf_threshold,frame_stride,min_area_ratio,videos,sum_processed_frames,sum_frames_with_detections,sum_total_detections,sum_seconds,mean_detected_frame_rate,D,R,S,score,is_pareto
0.25,1,0.0025,21,8910,3249,3466,233.98623132705688,0.3674128794339889,1.0,1.0,0.1334691704612364,0.7111563901537455,False
0.25,1,0.005,21,8910,3240,3457,235.9339141845703,0.3664618990478988,0.9967741935483871,0.9965556831228473,0.13051485860783943,0.7079482450930246,False
0.2,1,0.005,21,8910,3240,3457,243.40312576293945,0.3664618990478988,0.9967741935483871,0.9965556831228473,0.11962362663143628,0.7043178344342236,False
0.2,1,0.0025,21,8910,3249,3466,252.71395611763,0.3674128794339889,1.0,1.0,0.10694851459842271,0.7023161715328076,False
0.25,1,0.01,21,8910,3170,3382,233.99178957939148,0.3590656879200593,0.9698924731182795,0.969766551856104,0.13346066953773492,0.6910398981707062,False
0.2,1,0.01,21,8910,3170,3382,235.11728239059448,0.3590656879200593,0.9698924731182795,0.969766551856104,0.13174759474895492,0.6904688732411128,False
0.15,1,0.01,21,8910,3170,3382,256.74666118621826,0.3590656879200593,0.9698924731182795,0.969766551856104,0.1017439883824712,0.6804676711189517,True
0.15,1,0.005,21,8910,3240,3457,330.84555649757385,0.3664618990478988,0.9967741935483871,0.9965556831228473,0.028697323299085448,0.6740090666567733,True
0.15,1,0.0025,21,8910,3249,3466,373.15498661994934,0.3674128794339889,1.0,1.0,0.0,0.6666666666666666,True
0.25,2,0.005,21,4458,1624,1733,124.56616592407227,0.3669401771720017,0.3788530465949821,0.3781094527363184,0.44782776659072837,0.40159675530734296,False
0.25,2,0.01,21,4458,1588,1695,124.14501905441284,0.3593313893714085,0.36523297491039425,0.3643321852277076,0.4501082291724612,0.39322446310352105,False
0.2,2,0.0025,21,4458,1630,1739,132.7029800415039,0.36820908198072955,0.3810035842293907,0.38040566398775355,0.40660924674241733,0.38933949831985387,False
0.25,2,0.0025,21,4458,1630,1739,134.27400398254395,0.36820908198072955,0.3810035842293907,0.38040566398775355,0.39922631320934104,0.38687852047549504,False
0.2,2,0.005,21,4458,1624,1733,133.74475407600403,0.3669401771720017,0.3788530465949821,0.3781094527363184,0.40169411834903496,0.38621887256011184,False
0.2,2,0.01,21,4458,1588,1695,133.73457551002502,0.3593313893714085,0.36523297491039425,0.3643321852277076,0.40174177076306994,0.3771023103003906,False
0.15,2,0.0025,21,4458,1630,1739,152.06106781959534,0.36820908198072955,0.3810035842293907,0.38040566398775355,0.32627836875505495,0.36256253899073304,False
0.15,2,0.005,21,4458,1624,1733,152.53095889091492,0.3669401771720017,0.3788530465949821,0.3781094527363184,0.3245819231971101,0.3605148075094702,False
0.15,2,0.01,21,4458,1588,1695,152.64226770401,0.3593313893714085,0.36523297491039425,0.3643321852277076,0.3241815956160533,0.35124891858471835,True
0.25,5,0.0025,21,1787,650,690,68.85331416130066,0.3665258810996138,0.005017921146953405,0.005357826253348641,0.9917655323479805,0.3340470932494275,False
0.25,5,0.01,21,1787,636,676,68.39025568962097,0.3591301022752636,0.0,0.0,1.0,0.3333333333333333,False
0.25,5,0.005,21,1787,648,688,69.69087743759155,0.3654676800414127,0.004301075268817204,0.004592422502870264,0.9771492940242873,0.32868093059865827,False
0.2,5,0.0025,21,1787,650,690,72.56751823425293,0.3665258810996138,0.005017921146953405,0.005357826253348641,0.9295186775449302,0.31329814164841074,False
0.2,5,0.01,21,1787,636,676,72.20877480506897,0.3591301022752636,0.0,0.0,0.9352515262264403,0.31175050874214677,False
0.2,5,0.005,21,1787,648,688,72.7675850391388,0.3654676800414127,0.004301075268817204,0.004592422502870264,0.9263460902985371,0.3117465293567415,False
0.15,5,0.005,21,1787,648,688,81.65940308570862,0.3654676800414127,0.004301075268817204,0.004592422502870264,0.8010420211662502,0.2699785063126459,True
0.15,5,0.0025,21,1787,650,690,81.93757796287537,0.3665258810996138,0.005017921146953405,0.005357826253348641,0.797560673854982,0.269312140418428,True
0.15,5,0.01,21,1787,636,676,81.23732423782349,0.3591301022752636,0.0,0.0,0.8063698534798206,0.2687899511599402,True
