video,species,num_tracks,total_detections,frames_processed,avg_track_length,min_track_length,max_track_length,median_track_length,mean_confidence,std_confidence,high_detections,low_detections,recovery_ratio,frame_coverage,track_thresh,det_thresh,match_thresh,fps_effective,tracking_version
armadillo_001,armadillo,1,225,225,0,225,225,225.0,0.9094302336374919,0.015595052163941891,225,0,0.0,1.0,0.7,0.25,0.35,7.5,unknown
armadillo_002,armadillo,1,24,45,0,24,24,24.0,0.8238093579808871,0.10674565235746232,21,3,0.125,0.5333333333333333,0.7,0.25,0.35,7.5,unknown
bird_001,bird,1,35,42,0,35,35,35.0,0.8171380111149379,0.04610062332243168,33,2,0.05714285714285714,0.8333333333333334,0.7,0.25,0.35,7.5,unknown
bird_003,bird,1,188,198,0,188,188,188.0,0.6748438108157604,0.10495999193624134,88,100,0.5319148936170213,0.9494949494949495,0.7,0.25,0.35,7.5,unknown
bird_019,bird,1,12,22,0,12,12,12.0,0.4887385293841362,0.13726785910785871,1,11,0.9166666666666666,0.5454545454545454,0.7,0.25,0.35,7.5,unknown
capybara_001,capybara,1,218,224,0,218,218,218.0,0.7540644163932275,0.032928077773305295,204,14,0.06422018348623854,0.9732142857142857,0.7,0.25,0.35,7.5,unknown
cow_0777,cow,4,278,227,0,13,227,19.0,0.8283261143260723,0.17728654787398518,235,43,0.15467625899280577,1.224669603524229,0.7,0.25,0.35,7.5,unknown
hare_0777,hare,1,222,224,0,222,222,222.0,0.8774486542553515,0.0741992454416773,216,6,0.02702702702702703,0.9910714285714286,0.7,0.25,0.35,7.5,unknown
humn,unknown,2,180,150,0,39,141,90.0,0.7703152810533841,0.17262866224940596,141,39,0.21666666666666667,1.2,0.7,0.25,0.35,7.5,unknown
insxeox,unknown,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.6,0.4,0.6,7.5,unknown
margay_008,margay,1,40,40,0,40,40,40.0,0.8588915288448333,0.057937910516977796,38,2,0.05,1.0,0.7,0.25,0.35,7.5,unknown
margay_012,margay,1,16,16,0,16,16,16.0,0.8943739961832762,0.1545492258673728,14,2,0.125,1.0,0.7,0.25,0.35,7.5,unknown
no_animal_004,unknown,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.7,0.25,0.35,7.5,unknown
skunk_004,skunk,1,8,13,0,8,8,8.0,0.554847739636898,0.14546316810803914,2,6,0.75,0.6153846153846154,0.7,0.25,0.35,7.5,unknown
wild_boar_001,wild_boar,1,211,211,0,211,211,211.0,0.8693650912899542,0.13301432544466377,186,25,0.11848341232227488,1.0,0.7,0.25,0.35,7.5,unknown
wild_boar_005,wild_boar,2,26,30,0,11,15,13.0,0.7782853337434622,0.1376833980021922,21,5,0.19230769230769232,0.8666666666666667,0.7,0.25,0.35,7.5,unknown
