epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,learning_rate
1,2.181827200700056,0.443217665615142,1.8233634739470996,0.6762589928057554,0.6374382628015502,9.890738003669029e-05
2,1.4183308213291108,0.7665615141955836,0.9585647848870257,0.8345323741007195,0.8106660280677338,9.567727288213005e-05
3,0.7519622791076684,0.8801261829652997,0.5537311737057117,0.8920863309352518,0.8832714096035642,9.045084971874738e-05
4,0.3183201709380285,0.9542586750788643,0.2574413116458509,0.9496402877697842,0.9497904270439012,8.345653031794292e-05
5,0.19293724033358722,0.9668769716088328,0.18592852555054554,0.9640287769784173,0.9605395576589547,7.500000000000001e-05
6,0.10800006549676135,0.9842271293375394,0.1658771280601299,0.9640287769784173,0.958944330523278,6.545084971874738e-05
7,0.08261493944830323,0.9794952681388013,0.13229480025311596,0.9856115107913669,0.9843363349084172,5.522642316338269e-05
8,0.04762307471046313,0.9952681388012619,0.10933713333533822,0.9856115107913669,0.9843363349084172,4.4773576836617344e-05
9,0.03781638741610742,0.998422712933754,0.09688989188950911,0.9856115107913669,0.9843363349084172,3.454915028125264e-05
10,0.045275173893298264,0.9921135646687698,0.08960909959558638,0.9856115107913669,0.9843363349084172,2.5000000000000018e-05
11,0.03012536704093688,0.9968454258675079,0.0878782803494242,0.9784172661870504,0.9776289448018178,1.654346968205711e-05
12,0.026458480874258637,0.998422712933754,0.08315842206047165,0.9856115107913669,0.9843363349084172,9.549150281252635e-06
13,0.029397085073994536,0.998422712933754,0.09082025642634081,0.9856115107913669,0.9843363349084172,4.322727117869952e-06
14,0.021356505421151875,0.998422712933754,0.08194677593360702,0.9856115107913669,0.9843363349084172,1.092619963309716e-06
15,0.035648505958472895,0.9936908517350158,0.09720979959590079,0.9784172661870504,0.9759284575074049,0.0
